TIMESTAMP: 7, UE_ID: 7, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -74.94, RSRP_TARGET: -54.93, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 22.09, SINR_TARGET: 54.84, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 7, UE_ID: 25, CELL_SOURCE_ID: 7, CELL_TARGET_ID: 3, RSRP_SOURCE: -115.99, RSRP_TARGET: -91.26, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -18.95, SINR_TARGET: 17.61, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 15, UE_ID: 9, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.68, RSRP_TARGET: -98.16, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.70, SINR_TARGET: 12.24, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 22, UE_ID: 43, CELL_SOURCE_ID: 7, CELL_TARGET_ID: 5, RSRP_SOURCE: -117.45, RSRP_TARGET: -101.43, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.84, SINR_TARGET: 9.39, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 59, UE_ID: 14, CELL_SOURCE_ID: 16, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.74, RSRP_TARGET: -83.87, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.51, SINR_TARGET: 25.31, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 59, UE_ID: 42, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.26, RSRP_TARGET: -91.48, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -17.44, SINR_TARGET: 15.65, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 64, UE_ID: 7, CELL_SOURCE_ID: 10, CELL_TARGET_ID: 1, RSRP_SOURCE: -99.95, RSRP_TARGET: -85.26, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.07, SINR_TARGET: 26.17, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 66, UE_ID: 42, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -101.13, RSRP_TARGET: -88.62, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 10.12, SINR_TARGET: 17.57, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 69, UE_ID: 14, CELL_SOURCE_ID: 13, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.59, RSRP_TARGET: -78.51, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.95, SINR_TARGET: 32.37, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 73, UE_ID: 26, CELL_SOURCE_ID: 21, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.17, RSRP_TARGET: -90.34, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.71, SINR_TARGET: 21.79, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 0
TIMESTAMP: 89, UE_ID: 26, CELL_SOURCE_ID: 21, CELL_TARGET_ID: 1, RSRP_SOURCE: -116.78, RSRP_TARGET: -89.63, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -17.19, SINR_TARGET: 21.10, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 92, UE_ID: 26, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -108.18, RSRP_TARGET: -89.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.63, SINR_TARGET: 23.46, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
