TIMESTAMP: 5, UE_ID: 288, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -96.93, RSRP_TARGET: -89.60, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.92, SINR_TARGET: 21.18, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 5, UE_ID: 294, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 3, RSRP_SOURCE: -93.18, RSRP_TARGET: -86.92, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.17, SINR_TARGET: 26.14, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 18, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 4, RSRP_SOURCE: -99.50, RSRP_TARGET: -94.49, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 10.72, SINR_TARGET: 14.84, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 19, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -96.55, RSRP_TARGET: -91.52, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 13.67, SINR_TARGET: 17.81, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 20, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 3, RSRP_SOURCE: -95.07, RSRP_TARGET: -88.79, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.26, SINR_TARGET: 22.33, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 29, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 3, RSRP_SOURCE: -91.56, RSRP_TARGET: -87.84, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 18.26, SINR_TARGET: 23.48, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 40, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 1, RSRP_SOURCE: -97.11, RSRP_TARGET: -93.01, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.30, SINR_TARGET: 15.15, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 45, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -100.39, RSRP_TARGET: -93.07, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.83, SINR_TARGET: 12.13, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 56, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 3, RSRP_SOURCE: -96.03, RSRP_TARGET: -89.60, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 16.37, SINR_TARGET: 23.61, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
TIMESTAMP: 6, UE_ID: 57, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -98.00, RSRP_TARGET: -91.47, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.40, SINR_TARGET: 16.85, TIME_TO_TRIGGER: 0.04, A3_OFFSET: 3.00, HOF: 1
