TIMESTAMP: 10, UE_ID: 45, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 2, RSRP_SOURCE: -87.32, RSRP_TARGET: -73.72, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 18.56, SINR_TARGET: 40.01, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 11, UE_ID: 15, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -105.57, RSRP_TARGET: -91.18, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -5.74, SINR_TARGET: 17.27, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 11, UE_ID: 31, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -111.71, RSRP_TARGET: -87.54, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.08, SINR_TARGET: 22.47, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 11, UE_ID: 39, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.64, RSRP_TARGET: -94.80, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -5.54, SINR_TARGET: 14.11, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 12, UE_ID: 40, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -109.44, RSRP_TARGET: -94.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.03, SINR_TARGET: 13.72, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 15, UE_ID: 5, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 2, RSRP_SOURCE: -110.14, RSRP_TARGET: -96.63, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.65, SINR_TARGET: 10.68, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 0
TIMESTAMP: 15, UE_ID: 29, CELL_SOURCE_ID: 11, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.59, RSRP_TARGET: -88.99, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.98, SINR_TARGET: 21.85, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 15, UE_ID: 31, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -104.06, RSRP_TARGET: -81.86, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.27, SINR_TARGET: 30.32, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 16, UE_ID: 42, CELL_SOURCE_ID: 19, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.01, RSRP_TARGET: -91.58, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.68, SINR_TARGET: 18.88, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
TIMESTAMP: 17, UE_ID: 50, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 2, RSRP_SOURCE: -115.38, RSRP_TARGET: -103.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -18.26, SINR_TARGET: 4.68, TIME_TO_TRIGGER: 16.00, A3_OFFSET: 12.00, HOF: 1
